Posted_date,Job Title,Country,Company,Skill
12-05-2024,IT project manager,Germany,Indeed,"Software Development,R"
11-20-2024,IT project manager,Germany,Apollo Technology Solutions LLC,"Software Development,R"
12-04-2024,IT project manager,Germany,Infosys,"Software Development,R"
11-25-2024,IT project manager,Germany,PepsiCo,"Software Development,R"
11-21-2024,IT project manager,Germany,Infosys,"LAN,R"
10-11-2024,IT project manager,Germany,Adidev Technologies Inc,R
10-17-2024,IT project manager,Germany,Toyota Tsusho Systems,"Software Development,R"
09-05-2024,IT project manager,Germany,"Contact Government Services, LLC","LAN,R"
07-26-2024,IT project manager,Germany,Care.com,"LAN,R"
10-18-2024,IT project manager,Germany,Adidev Technologies Inc,R
10-21-2024,IT project manager,Germany,"Contact Government Services, LLC",R
10-12-2018,IT project manager,Germany,Crossroads Technologies,R
08-30-2024,IT project manager,Germany,"Contact Government Services, LLC",R
04-17-2019,IT project manager,Germany,Crossroads Technologies,R
11-22-2024,IT project manager,Germany,Adidev Technologies Inc,"LAN,R"
10-09-2024,IT project manager,Germany,"Contact Government Services, LLC","LAN,R"
04-17-2019,IT project manager,Germany,Crossroads Technologies,"MAN,Project Management,R"
11-22-2024,IT project manager,Germany,Adidev Technologies Inc,R
10-01-2024,IT project manager,Germany,Indeed,"Software Development,R"
10-11-2024,IT project manager,Germany,Adidev Technologies Inc,"LAN,R"
10-11-2024,IT project manager,Germany,Adidev Technologies Inc,"LAN,R"
04-20-2023,IT project manager,Germany,Rightnow Ministries International,"LAN,R"
12-03-2021,IT project manager,Germany,VYNYL,"Software Development,R"
11-04-2024,IT project manager,Germany,"Standard Motor Products, Inc.",R
11-04-2024,IT project manager,Germany,Indeed,"Software Development,R"
12-06-2024,IT project manager,Germany,Indeed,R
12-05-2024,IT project manager,Germany,Tyler Technologies,"Software Development,R"
10-21-2024,IT project manager,Germany,CVS Health,"Software Development,R"
12-03-2024,IT project manager,Germany,Indeed,"Authorization,R"
12-06-2024,IT project manager,Germany,Infosys,"Software Development,R"
11-18-2024,IT project manager,Germany,Nisum,R
12-01-2024,IT project manager,Germany,Everlight Solar,R
11-21-2024,IT project manager,Germany,Infosys,"LAN,R"
07-08-2020,IT project manager,Germany,Infosys,"LAN,R"
11-19-2024,IT project manager,Germany,Geoforce,R
07-07-2019,IT project manager,Germany,Synthesis Systems,"LAN,R"
10-12-2018,IT project manager,Germany,Crossroads Technologies,R
10-21-2024,IT project manager,Germany,"Contact Government Services, LLC",R
10-09-2024,IT project manager,Germany,"Contact Government Services, LLC","LAN,R"
08-30-2024,IT project manager,Germany,"Contact Government Services, LLC",R
12-06-2024,IT project manager,Germany,Indeed,R
12-05-2024,IT project manager,Germany,Tyler Technologies,"Software Development,R"
10-21-2024,IT project manager,Germany,CVS Health,"Software Development,R"
12-03-2024,IT project manager,Germany,Indeed,"Authorization,R"
12-06-2024,IT project manager,Germany,Infosys,"Software Development,R"
11-18-2024,IT project manager,Germany,Nisum,R
12-01-2024,IT project manager,Germany,Everlight Solar,R
11-21-2024,IT project manager,Germany,Infosys,"LAN,R"
07-08-2020,IT project manager,Germany,Infosys,"LAN,R"
