Posted_date,Job Title,Country,Company,Skill
12-10-2024,Cloud Architect,Germany,Indeed,"R,Leadership"
12-03-2024,Cloud Architect,Germany,Indeed,R
10-02-2024,Cloud Architect,Germany,Indeed,"Authorization,R"
11-18-2024,Cloud Architect,Germany,Wpromote,R
10-02-2024,Cloud Architect,Germany,Indeed,R
11-12-2024,Cloud Architect,Germany,Indeed,"Software Development,R"
07-23-2024,Cloud Architect,Germany,AssistRx,R
11-18-2024,Cloud Architect,Germany,Northeast Alabama Regional Medical Center,R
07-23-2024,Cloud Architect,Germany,"Contact Government Services, LLC","LAN,R"
09-06-2024,Cloud Architect,Germany,"Contact Government Services, LLC",R
12-06-2024,Cloud Architect,Germany,Microsoft,"Software Development,R"
12-06-2024,Cloud Architect,Germany,Microsoft,"Software Development,R"
12-02-2024,Cloud Architect,Germany,Microsoft,R
12-04-2024,Cloud Architect,Germany,Microsoft,R
11-22-2024,Cloud Architect,Germany,Inclusion Cloud,"LAN,R"
12-10-2024,Cloud Architect,Germany,U.S. Bank,"LAN,R"
11-22-2024,Cloud Architect,Germany,Inclusion Cloud,R
10-02-2024,Cloud Architect,Germany,Tyler Technologies,R
11-26-2024,Cloud Architect,Germany,Photon,R
11-01-2024,Cloud Architect,Germany,U.S. Bank,R
11-22-2024,Cloud Architect,Germany,Inclusion Cloud,"R,Leadership"
11-15-2024,Cloud Architect,Germany,Amazon.com,R
12-04-2024,Cloud Architect,Germany,Deloitte,R
05-16-2024,Cloud Architect,Germany,Alcority,"Software Development,R"
10-25-2024,Cloud Architect,Germany,Fujitsu,"Software Development,R"
11-21-2024,Cloud Architect,Germany,Applications Software Technology Corporation ( AST ),"Gin,R,MAN"
09-03-2024,Cloud Architect,Germany,Long View Systems,"Software Development,R"
07-06-2021,Cloud Architect,Germany,ACG Tech Systems,"LAN,R"
01-30-2024,Cloud Architect,Germany,Fidelity TalentSource,"Software Development,R"
12-09-2024,Cloud Architect,Germany,PwC,"Data Management,Data Engineering,R,Gin,MAN,Analytics"
10-30-2024,Cloud Architect,Germany,NTT Data Services,R
09-03-2024,Cloud Architect,Germany,Hitachi Digital Services,"Software Development,R"
11-27-2024,Cloud Architect,Germany,Capgemini,"R,Leadership"
11-22-2023,Cloud Architect,Germany,Photon,"Software Development,R"
09-07-2022,Cloud Architect,Germany,Logic Rule,"LAN,R"
09-25-2024,Cloud Architect,Germany,Citi,"Software Development,R"
09-04-2024,Cloud Architect,Germany,JPMorgan Chase,"Software Development,R"
11-14-2024,Cloud Architect,Germany,Google,"Software Development,R"
08-07-2024,Cloud Architect,Germany,Amazon.com,R
11-22-2024,Cloud Architect,Germany,Inclusion Cloud,R
12-09-2024,Cloud Architect,Germany,PwC,"Data Management,Data Engineering,R,Gin,MAN,Analytics"
11-21-2024,Cloud Architect,Germany,Applications Software Technology Corporation ( AST ),"Gin,R,MAN"
07-06-2021,Cloud Architect,Germany,ACG Tech Systems,"LAN,R"
09-03-2024,Cloud Architect,Germany,Hitachi Digital Services,"Software Development,R"
11-27-2024,Cloud Architect,Germany,Capgemini,"R,Leadership"
10-30-2024,Cloud Architect,Germany,NTT Data Services,R
09-03-2024,Cloud Architect,Germany,Long View Systems,"Software Development,R"
11-14-2024,Cloud Architect,Germany,Google,"Software Development,R"
08-07-2024,Cloud Architect,Germany,Amazon.com,R
01-30-2024,Cloud Architect,Germany,Fidelity TalentSource,"Software Development,R"
09-25-2024,Cloud Architect,Germany,Citi,"Software Development,R"
11-22-2023,Cloud Architect,Germany,Photon,"Software Development,R"
09-04-2024,Cloud Architect,Germany,JPMorgan Chase,"Software Development,R"
03-11-2024,Cloud Architect,Germany,Themesoft,"LAN,R"
11-22-2024,Cloud Architect,Germany,Inclusion Cloud,R
11-22-2024,Cloud Architect,Germany,Inclusion Cloud,R
11-22-2024,Cloud Architect,Germany,Inclusion Cloud,R
07-09-2024,Cloud Architect,Germany,Tyler Technologies,"Software Development,R"
