id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
2732,11/22/2024,Data analyst,Data Analyst (all genders) - fully remote within Germany,ALBERIA,https://media.licdn.com/dms/image/v2/D4E0BAQHwHrKdKh9_kA/company-logo_100_100/company-logo_100_100/0/1713268937032/planerai_logo?e=1741219200&v=beta&t=Qea45E7kh906APuLQ1PYHVdnudkHj85R-4eSSQz7zn8,germany,Germany,"Analytical Skills, Android Espresso , Business Insights, Business Intelligence (BI), Data Analysis, Data Analytics, Espresso, Extract, Transform, Load (ETL), Python (Programming Language),  Statistics",NA,linkedin.com
2733,11/22/2024,Data analyst,Data Analyst (all genders) - fully remote within Germany,ALBERIA,https://media.licdn.com/dms/image/v2/D4E0BAQHwHrKdKh9_kA/company-logo_100_100/company-logo_100_100/0/1713268937032/planerai_logo?e=1741219200&v=beta&t=Qea45E7kh906APuLQ1PYHVdnudkHj85R-4eSSQz7zn8,germany,Germany,"Analytical Skills, Android Espresso , Business Insights, Business Intelligence (BI), Data Analysis, Data Analytics, Espresso, Extract, Transform, Load (ETL), Python (Programming Language),  Statistics",NA,linkedin.com
2734,11/22/2024,Data analyst,Data Analyst (all genders) - fully remote within Germany,ALBERIA,https://media.licdn.com/dms/image/v2/D4E0BAQHwHrKdKh9_kA/company-logo_100_100/company-logo_100_100/0/1713268937032/planerai_logo?e=1741219200&v=beta&t=Qea45E7kh906APuLQ1PYHVdnudkHj85R-4eSSQz7zn8,germany,Germany,"Analytical Skills, Android Espresso , Business Insights, Business Intelligence (BI), Data Analysis, Data Analytics, Espresso, Extract, Transform, Load (ETL), Python (Programming Language),  Statistics",NA,linkedin.com
2735,11/22/2024,Data analyst,Data Analyst (all genders) - fully remote within Germany,ALBERIA,https://media.licdn.com/dms/image/v2/D4E0BAQHwHrKdKh9_kA/company-logo_100_100/company-logo_100_100/0/1713268937032/planerai_logo?e=1741219200&v=beta&t=Qea45E7kh906APuLQ1PYHVdnudkHj85R-4eSSQz7zn8,germany,Germany,"Analytical Skills, Android Espresso , Business Insights, Business Intelligence (BI), Data Analysis, Data Analytics, Espresso, Extract, Transform, Load (ETL), Python (Programming Language),  Statistics",NA,linkedin.com
2736,11/22/2024,Data analyst,Data Analyst (all genders) - fully remote within Germany,ALBERIA,https://media.licdn.com/dms/image/v2/D4E0BAQHwHrKdKh9_kA/company-logo_100_100/company-logo_100_100/0/1713268937032/planerai_logo?e=1741219200&v=beta&t=Qea45E7kh906APuLQ1PYHVdnudkHj85R-4eSSQz7zn8,germany,Germany,"Analytical Skills, Android Espresso , Business Insights, Business Intelligence (BI), Data Analysis, Data Analytics, Espresso, Extract, Transform, Load (ETL), Python (Programming Language),  Statistics",NA,linkedin.com
2737,11/22/2024,Data analyst,Data Analyst (all genders) - fully remote within Germany,ABIERIA,https://media.licdn.com/dms/image/v2/D4E0BAQHwHrKdKh9_kA/company-logo_100_100/company-logo_100_100/0/1713268937032/planerai_logo?e=1741219200&v=beta&t=Qea45E7kh906APuLQ1PYHVdnudkHj85R-4eSSQz7zn8,germany,Germany,"Analytical Skills, Android Espresso , Business Insights, Business Intelligence (BI), Data Analysis, Data Analytics, Espresso, Extract, Transform, Load (ETL), Python (Programming Language),  Statistics",NA,linkedin.com
2738,11/22/2024,Data analyst,Data Analyst (all genders) - fully remote within Germany,ALBERIA,https://media.licdn.com/dms/image/v2/D4E0BAQHwHrKdKh9_kA/company-logo_100_100/company-logo_100_100/0/1713268937032/planerai_logo?e=1741219200&v=beta&t=Qea45E7kh906APuLQ1PYHVdnudkHj85R-4eSSQz7zn8,germany,Germany,"Analytical Skills, Android Espresso , Business Insights, Business Intelligence (BI), Data Analysis, Data Analytics, Espresso, Extract, Transform, Load (ETL), Python (Programming Language),  Statistics",NA,linkedin.com
2739,11/22/2024,Data analyst,Data Analyst (all genders) - fully remote within Germany,ALBERIA,https://media.licdn.com/dms/image/v2/D4E0BAQHwHrKdKh9_kA/company-logo_100_100/company-logo_100_100/0/1713268937032/planerai_logo?e=1741219200&v=beta&t=Qea45E7kh906APuLQ1PYHVdnudkHj85R-4eSSQz7zn8,germany,Germany,"Analytical Skills, Android Espresso , Business Insights, Business Intelligence (BI), Data Analysis, Data Analytics, Espresso, Extract, Transform, Load (ETL), Python (Programming Language),  Statistics",NA,linkedin.com
2740,11/22/2024,Data analyst,Data Analyst (all genders) - fully remote within Germany,ALBERIA,https://media.licdn.com/dms/image/v2/D4E0BAQHwHrKdKh9_kA/company-logo_100_100/company-logo_100_100/0/1713268937032/planerai_logo?e=1741219200&v=beta&t=Qea45E7kh906APuLQ1PYHVdnudkHj85R-4eSSQz7zn8,germany,Germany,"Analytical Skills, Android Espresso , Business Insights, Business Intelligence (BI), Data Analysis, Data Analytics, Espresso, Extract, Transform, Load (ETL), Python (Programming Language),  Statistics",NA,linkedin.com
2741,11/22/2024,Data analyst,Data Analyst (all genders) - fully remote within Germany,ALBERIA,https://media.licdn.com/dms/image/v2/D4E0BAQHwHrKdKh9_kA/company-logo_100_100/company-logo_100_100/0/1713268937032/planerai_logo?e=1741219200&v=beta&t=Qea45E7kh906APuLQ1PYHVdnudkHj85R-4eSSQz7zn8,germany,Germany,"Analytical Skills, Android Espresso , Business Insights, Business Intelligence (BI), Data Analysis, Data Analytics, Espresso, Extract, Transform, Load (ETL), Python (Programming Language),  Statistics",NA,linkedin.com
2742,11/22/2024,Data analyst,Data Analyst (all genders) - fully remote within Germany,ALBERIA,https://media.licdn.com/dms/image/v2/D4E0BAQHwHrKdKh9_kA/company-logo_100_100/company-logo_100_100/0/1713268937032/planerai_logo?e=1741219200&v=beta&t=Qea45E7kh906APuLQ1PYHVdnudkHj85R-4eSSQz7zn8,germany,Germany,"Analytical Skills, Android Espresso , Business Insights, Business Intelligence (BI), Data Analysis, Data Analytics, Espresso, Extract, Transform, Load (ETL), Python (Programming Language),  Statistics",NA,linkedin.com
2743,12/05/2024,Data analyst,Data Analyst/Scientist (m/f/d) for Energy Transformation,ZipRecruiter,NA,germany,"Dortmund, North Rhine-Westphalia, Germany","Analytical Skills, Analytics, Artificial Intelligence (AI), Business Intelligence (BI), Data Analytics, Data Science, Injections, Machine Learning, SQL,  Statistics",NA,linkedin.com
2744,12/05/2024,Data analyst,(Senior) Data Analyst (m/w/d),Deichmann,https://media.licdn.com/dms/image/v2/C560BAQHXfo6Mja-1mA/company-logo_100_100/company-logo_100_100/0/1631312054049?e=1741219200&v=beta&t=0ftOG3cht_nG0PF2U9kWHwN7H5DGSVt6J1ALUp4nv00,germany,"Mülheim an der Ruhr, North Rhine-Westphalia, Germany","Analytical Skills, Analytics, Business Insights, Dashboards, Data Analytics, Data Science, Extract, Transform, Load (ETL), Machine Learning, Python (Programming Language),  Statistics",NA,linkedin.com
2745,11/30/2024,Data analyst,Data Analyst (m/f/d) in Sales Management,Stadtsparkasse Gladbeck,NA,germany,"Gladbeck, North Rhine-Westphalia, Germany","Analytical Skills, Analytics, Data Analysis, Data Analytics, Data Science, Data Visualization, Databases, Problem Solving, Self-employment,  Statistics",NA,linkedin.com
2746,11/29/2024,Data analyst,German Annotator - Remote Part-time,TransPerfect,https://media.licdn.com/dms/image/v2/C4E0BAQGjAYf8CSLV2Q/company-logo_100_100/company-logo_100_100/0/1638370935935/transperfect_logo?e=1741219200&v=beta&t=HV4Xdo44WxriVPMFHDO8nlhFJceVfiDUMG6STLaZA6c,germany,Frankfurt Rhine-Main Metropolitan Area,English  German,NA,linkedin.com
2747,11/29/2024,Data analyst,German Annotator - Remote Part-time,TransPerfect,https://media.licdn.com/dms/image/v2/C4E0BAQGjAYf8CSLV2Q/company-logo_100_100/company-logo_100_100/0/1638370935935/transperfect_logo?e=1741219200&v=beta&t=HV4Xdo44WxriVPMFHDO8nlhFJceVfiDUMG6STLaZA6c,germany,Germany,English  German,NA,linkedin.com
2748,11/06/2024,Data analyst,International Data Analyst / Project Assistant Procurement Data Analyst (m/f/d) in international food and non-food purchasing,CITTI Handelsgesellschaft mbH & Co. KG,https://media.licdn.com/dms/image/v2/C4D0BAQGxx45lxLZqiQ/company-logo_100_100/company-logo_100_100/0/1673520850777/citti_handelsgesellschaft_mbh__co_kommanditgesellschaft_logo?e=1741219200&v=beta&t=bZudA4B4N7QRSzb9mkSu4pAaRWm74IY2WvpSM15XmxA,germany,"Kiel, Schleswig-Holstein, Germany","Analytical Skills, Coordinating Skills, Data Analysis, Data Visualization, Easily Adaptable, Intercultural Skills, Interpersonal Skills, Multicultural Team Leadership, Problem Solving,  Sales Leadership Training",NA,linkedin.com
2749,12/03/2024,Data analyst,Lead Data & Analytics Consultant,SoftServe,https://media.licdn.com/dms/image/v2/D4D0BAQGtV44Uyhqr1w/company-logo_100_100/company-logo_100_100/0/1689185073400/softserve_logo?e=1741219200&v=beta&t=JvqWmP_qmzU8TVWrJkU_bP3TFqy155NtKC6Lk8TLTnE,germany,Germany,"Big Data, Big Data Analytics, Cloud Computing, Consulting, Data Analysis, German, Presales, Presentation Skills,  Solution Architecture",NA,linkedin.com
2750,12/03/2024,Data analyst,Lead Data & Analytics Consultant,SoftServe,https://media.licdn.com/dms/image/v2/D4D0BAQGtV44Uyhqr1w/company-logo_100_100/company-logo_100_100/0/1689185073400/softserve_logo?e=1741219200&v=beta&t=JvqWmP_qmzU8TVWrJkU_bP3TFqy155NtKC6Lk8TLTnE,germany,Germany,"Big Data, Big Data Analytics, Cloud Computing, Consulting, Data Analysis, German, Presales, Presentation Skills,  Solution Architecture",NA,linkedin.com
2751,12/03/2024,Data analyst,Lead Data & Analytics Consultant,SoftServe,https://media.licdn.com/dms/image/v2/D4D0BAQGtV44Uyhqr1w/company-logo_100_100/company-logo_100_100/0/1689185073400/softserve_logo?e=1741219200&v=beta&t=JvqWmP_qmzU8TVWrJkU_bP3TFqy155NtKC6Lk8TLTnE,germany,Germany,"Big Data, Big Data Analytics, Cloud Computing, Consulting, Data Analysis, German, Presales, Presentation Skills,  Solution Architecture",NA,linkedin.com
2752,12/03/2024,Data analyst,Lead Data & Analytics Consultant,SoftServe,https://media.licdn.com/dms/image/v2/D4D0BAQGtV44Uyhqr1w/company-logo_100_100/company-logo_100_100/0/1689185073400/softserve_logo?e=1741219200&v=beta&t=JvqWmP_qmzU8TVWrJkU_bP3TFqy155NtKC6Lk8TLTnE,germany,Germany,"Big Data, Big Data Analytics, Cloud Computing, Consulting, Data Analysis, German, Presales, Presentation Skills,  Solution Architecture",NA,linkedin.com
2753,12/03/2024,Data analyst,Lead Data & Analytics Consultant,SoftServe,https://media.licdn.com/dms/image/v2/D4D0BAQGtV44Uyhqr1w/company-logo_100_100/company-logo_100_100/0/1689185073400/softserve_logo?e=1741219200&v=beta&t=JvqWmP_qmzU8TVWrJkU_bP3TFqy155NtKC6Lk8TLTnE,germany,Germany,"Big Data, Big Data Analytics, Cloud Computing, Consulting, Data Analysis, German, Presales, Presentation Skills,  Solution Architecture",NA,linkedin.com
