ID,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
13,02-23-2024,AI engineer,"Mobile Lead- Dallas, TX",Photon,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4aa6cf8582dae94e91d8bf97770bbf32,Germany,"Dallas, TX","LAN,R",NA,indeed.com
14,12-05-2024,AI engineer,Development Manager,Tyler Technologies,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0ab4aded708ddde71411f9fabe0add22,Germany,"Plano, TX","Software Development,R",NA,indeed.com
15,07-02-2024,AI engineer,Mobile Developer (Front End),Fidelity TalentSource,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4630577b0160aeea641e462095dbed8d,Germany,"Westlake, TX","LAN,R",NA,indeed.com
16,12-06-2024,AI engineer,Sr. MAUI Developer - On Demand,Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/dc5e5697a3e19463eb188253d20627df,Germany,"Irving, TX",R,"$20,000 - $40,000 ",indeed.com
17,12-06-2024,AI engineer,"Team Lead, IT Applications",American Airlines,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e3c27172642fbec0755db09067a127bf,Germany,"Dallas, TX","Software Development,R",NA,indeed.com
18,10-08-2024,AI engineer,iOS Developer,TEK NINJAS,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f05f90301da28a2995493120b6dd0ff2,Germany,"Plano, TX","LAN,R",$55 - $60 an hour,indeed.com
19,12-03-2024,AI engineer,iOS Developer-E,Indeed,NA,Germany,"Fort Worth, TX","Software Development,R","From $7,000 a month",indeed.com
20,09-12-2024,AI engineer,Sr. Developer Android Native App,Michaels,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c2c5b03650498aa7afdc084cb7678986,Germany,"Irving, TX",R,NA,indeed.com
21,01-09-2023,AI engineer,"Senior Software Engineer (React, DevOps, iOS, Javascript)",CEDENT,NA,Germany,"Westlake, TX","Software Development,R",NA,indeed.com
22,05-21-2024,AI engineer,React Native - iOS Lead,Photon,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4aa6cf8582dae94e91d8bf97770bbf32,Germany,"Dallas, TX","LAN,R",NA,indeed.com
23,11-22-2024,AI engineer,System Admin,Vofox Solutions,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bd9fbd7ccc538ccf39da442420d564da,Germany,"Irving, TX",R,NA,indeed.com
24,10-21-2024,AI engineer,Staff Engineer - iOS,CVS Health,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/ef487bd4918a595f3e86081a6c389d41,Germany,"Richardson, TX","Software Development,R","$118,450 - $284,280 ",indeed.com
25,12-03-2024,AI engineer,Sr. Mobile Developer,Indeed,NA,Germany,"Westlake, TX","LAN,R",NA,indeed.com
26,12-06-2024,AI engineer,iOS Consultant,Infosys,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3da3b97b6f16b9eaf7b736ff548625f2,Germany,"Richardson, TX","Software Development,R",NA,indeed.com
27,12-06-2024,AI engineer,Senior iOS Developer,Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/d9e5a2328367c1d03dcf10489e4c44b7,Germany,"Plano, TX","Authorization,R",$60 - $75 an hour,indeed.com
28,11-18-2024,AI engineer,Mobile iOS Lead Architect,Nisum,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/db5fb623ec6ad6a08c2c2a223566c689,Germany,"Plano, TX",R,"$145,000 - $150,000 ",indeed.com
29,11-04-2024,AI engineer,"Staff Software Engineer, Payments (Flutter)",GoodLeap,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e815fe4923f5e049ae9049eb37938954,Germany,"Plano, TX",R,"$164,000 - $187,000 ",indeed.com
30,12-01-2024,AI engineer,MuleSoft Developer,Everlight Solar,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/91e48ea0416c3a1bf516cee26e117d1f,Germany,"Dallas, TX",R,"$60,000 - $100,000 ",indeed.com
31,12-06-2024,AI engineer,Sr. MAUI Developer - On Demand,Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/dc5e5697a3e19463eb188253d20627df,Germany,"Irving, TX",R,"$20,000 - $40,000 ",indeed.com
32,09-12-2024,AI engineer,Sr. Developer Android Native App,Michaels,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c2c5b03650498aa7afdc084cb7678986,Germany,"Irving, TX",R,NA,indeed.com
33,12-06-2024,AI engineer,"Team Lead, IT Applications",American Airlines,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e3c27172642fbec0755db09067a127bf,Germany,"Dallas, TX","Software Development,R",NA,indeed.com
34,11-22-2024,AI engineer,System Admin,Vofox Solutions,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bd9fbd7ccc538ccf39da442420d564da,Germany,"Irving, TX",R,NA,indeed.com
35,12-03-2024,AI engineer,iOS Developer-E,Indeed,NA,Germany,"Fort Worth, TX","Software Development,R","From $7,000 a month",indeed.com
36,10-08-2024,AI engineer,iOS Developer,TEK NINJAS,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f05f90301da28a2995493120b6dd0ff2,Germany,"Plano, TX","LAN,R",$55 - $60 an hour,indeed.com
