id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
26,12-05-2024,Cloud Architect,"Information Security Data Analyst (Application Security), VP (C13)",Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX","Data Management,Data Engineering,R,Gin,MAN,Analytics","$125,760 - $188,640 ",indeed.com
27,11-08-2024,Cloud Architect,"Cyber Risk Analyst, VP",Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX","Data Management,Data Engineering,R,Gin,MAN,Analytics","$125,760 - $188,640 ",indeed.com
28,10-09-2024,Cloud Architect,"SOC Cyber Fraud Fusion Analyst, AVP",Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX",R,"$96,400 - $144,600 ",indeed.com
29,12-05-2024,Cloud Architect,IAM Business Enablement Lead - Senior Information Security Analyst,Wells Fargo,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2ced2b321a964f69975fedbffe05c4bb,Germany,"Westlake, TX",R,"$84,000 - $149,400 ",indeed.com
30,12-10-2024,Cloud Architect,Business Information Security Office - Senior Lead Information Security Analyst,Wells Fargo,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2ced2b321a964f69975fedbffe05c4bb,Germany,"Westlake, TX",R,"$120,400 - $287,600 ",indeed.com
31,11-06-2024,Cloud Architect,Fraud Surveillance Analyst,Fidelity TalentSource,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4630577b0160aeea641e462095dbed8d,Germany,"Westlake, TX",R,NA,indeed.com
32,10-31-2024,Cloud Architect,Engineer Sr Analyst- AVP,Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX","LAN,R","$96,400 - $144,600 ",indeed.com
33,11-22-2024,Cloud Architect,Privacy and Compliance Analyst,Sabre,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c359c51cc59624fc547799b4c7804709,Germany,"Dallas-Fort Worth, TX",R,NA,indeed.com
34,10-01-2024,Cloud Architect,Sr. Cybersecurity Analyst,The Evolvers Group,NA,Germany,"Dallas, TX",R,NA,indeed.com
35,11-06-2024,Cloud Architect,"IAM Engineering Analyst, AVP (C12)",Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX",R,"$96,400 - $144,600 ",indeed.com
